coord
   ;Dim.1;Dim.2;Dim.3;Dim.4;Dim.5;
57;0.4651;0.0006;0.6074;0.1891;0.0794;
58;0.1535;0.7277;0.004;0.8936;0.243;
59;0.0728;0.0773;0.0204;0.2536;1.4399;
60;0.2941;0.0794;0.2166;0.1469;0.0339;
61;0.421;1.2368;0.0368;0.1843;0.2024;
62;0.001;0.0265;0.4365;0.3499;0.6332;
63;0.2534;0.6716;0.1322;0.6744;0.0327;
64;0.1821;0.3252;0.5959;0.3407;0.0919;
65;0.3015;0.0089;0.0005;0.8255;0.1342;
66;3.128;0.0386;0.6816;0.0775;3.3347;
67;0.1882;1.556;0.0076;0.1197;0.021;
68;0.0256;0.0096;0.2432;1.1316;0.1646;
69;0.4126;0.0053;0.3853;0.007;0.1183;
70;1.595;0.2206;1.6423;5.3193;1.926;
71;0.4651;0.0006;0.6074;0.1891;0.0794;
72;0.0087;0.1598;0.0014;0.1054;0.0002;
73;0.3682;0.048;1.6031;0.5393;1.9083;
74;0.2122;0.0029;1.3694;0.2285;0.049;
75;0.2941;0.0794;0.2166;0.1469;0.0339;
76;0.1455;0.0047;0.0105;1.0417;0.1192;
77;0.2941;0.0794;0.2166;0.1469;0.0339;
78;0.0155;0.1091;0.0003;0.1606;0.0073;
79;0.4393;0.1848;0.595;0.1454;0.1931;
80;1.8365;2.3476;0.0505;0.0807;0.0229;
81;0.2519;0.2489;1.3553;0.6502;0.2785;
82;0.2941;0.0794;0.2166;0.1469;0.0339;
83;0.0108;1.2737;0.3305;0.6201;1.2345;
84;0.2941;0.0794;0.2166;0.1469;0.0339;
85;0.3015;0.0089;0.0005;0.8255;0.1342;
86;0.4651;0.0006;0.6074;0.1891;0.0794;
87;0.421;1.2368;0.0368;0.1843;0.2024;
88;0.6549;1.0765;0.5325;0.2179;0.0013;
89;0.0204;1.2842;0.1319;0.6225;1.8307;
90;0.1804;0.9264;0.0096;0.4057;4.1733;
91;0.1435;0.6175;0.0454;0.1767;0.0005;
92;0.068;0.3169;0.0018;0.0452;0.4872;
93;0.0671;0.5381;0.4803;0.2224;0.1668;
94;0.2711;2.5726;0.1199;0.0755;0.3711;
95;0.0204;1.2842;0.1319;0.6225;1.8307;
96;0.077;0.1072;0.3332;2.9348;0.0935;
97;0.517;1.7337;0.265;0.1032;0.6854;
98;0.049;0.8023;0.059;0.9955;0.1076;
99;0.0051;0.0083;6.2087;0.0699;0.058;
100;0.2663;0.9853;0.3182;0.002;0.2856;
101;3.0866;0.5715;0.0019;0.2789;0.3004;
102;0;0;0;0;0;
103;1.0604;0.6346;0.2943;0.1448;1.1635;
104;1.7458;4.293;0.0613;0.0003;0.2209;
105;0.2941;0.0794;0.2166;0.1469;0.0339;
106;0.2941;0.0794;0.2166;0.1469;0.0339;
107;1.1039;2.3578;0.2092;0.7005;0.588;
108;0.3454;0.8856;0.3491;0.529;0.7253;
109;0.8548;0.3414;2.6759;0.0222;2.9121;
110;0.1535;0.7277;0.004;0.8936;0.243;
111;0.1373;0.8817;0.154;0.1208;0.0093;
112;0.2941;0.0794;0.2166;0.1469;0.0339;
113;0.2644;0.0355;0.7366;0.2992;0.1847;
114;1.2542;7.0958;0.3268;0.0755;0.0461;
115;0.6428;0.0074;0.1858;1.0929;0.7185;
116;0.4393;0.6504;0.306;0.0948;0.4687;
117;0.3131;0.4758;0.0003;1.118;0.0477;
118;0.0354;2.3372;0.0019;0.0003;0.1464;
119;0.1355;0.0131;0.0345;0.0843;1.3194;
120;0.875;0.6029;2.8209;0.5918;0.7157;
121;0.2941;0.0794;0.2166;0.1469;0.0339;
122;0.3124;0.0685;0.0295;0.0024;0.0719;
123;0.0014;0.0812;4.5851;0.0875;1.0716;
124;0.0017;0.6449;0.5573;0.1565;0.2308;
125;0.5527;0.0013;1.8269;0.0003;1.9531;
126;0.3015;0.0089;0.0005;0.8255;0.1342;
127;0.0041;0.2954;0.0024;0.0231;1.0568;
128;1.4655;0.121;1.8235;0.0558;2.0582;
129;0.2941;0.0794;0.2166;0.1469;0.0339;
130;0.4045;0.6125;0.1063;0.3893;4.858;
131;0.0519;0.0205;0.3245;0.4253;0.2169;
132;0.1178;0.0554;0.1042;0.2035;0.1436;
133;0.3513;0.1578;0.3266;0.0373;0.0025;
134;2.437;0.2468;0.6749;0.0029;0.1006;
135;0.0294;0.2161;0.0427;1.7448;3.3862;
136;0.0438;2.1344;1.5574;0.4613;0.1394;
137;0.1821;0.3252;0.5959;0.3407;0.0919;
138;0.0235;0.2247;0;0.052;0.914;
139;0.2941;0.0794;0.2166;0.1469;0.0339;
140;0.1726;0.6158;4.3565;1.4036;0.133;
141;1.3204;1.5658;0.0264;0.0019;2.3865;
142;1.5554;0.5287;0.2392;0.0927;1.0135;
143;0.2941;0.0794;0.2166;0.1469;0.0339;
144;0.0438;0.4094;0.6814;0.2577;0.0534;
145;3.1799;0.002;0.0203;0.0101;0.029;
146;0.0248;0.5727;0.3648;0.2148;0.0068;
147;0.0107;0.1446;0.0164;0.0697;0.1002;
148;0.8607;1.0608;6.1519;2.3483;1.3085;
